iter	Passed	Remaining
326	44242	118115
327	44384	117998
328	44508	117832
329	44624	117645
330	44739	117457
331	44880	117337
332	45008	117184
333	45132	117019
334	45259	116863
335	45383	116700
336	45511	116546
337	45647	116413
338	45792	116304
339	45914	116135
340	46034	115962
341	46155	115794
342	46278	115629
343	46404	115470
344	46537	115331
345	46754	115400
346	46891	115269
347	47016	115109
348	47141	114949
349	47262	114780
350	47391	114630
351	47517	114474
352	47650	114333
353	47775	114175
354	47897	114010
355	48018	113842
356	48147	113693
357	48272	113534
358	48402	113389
359	48533	113245
360	48673	113122
361	48798	112963
362	48939	112844
363	49069	112697
364	49194	112540
365	49330	112407
366	49458	112258
367	49594	112127
368	49711	111950
369	49833	111788
370	49973	111666
371	50121	111561
372	50278	111476
373	50464	111452
374	50597	111314
375	50732	111179
376	50867	111045
377	51003	110911
378	51139	110780
379	51266	110626
380	51390	110469
381	51532	110349
382	51665	110210
383	51807	110090
384	51936	109942
385	52065	109796
386	52190	109641
387	52323	109500
388	52456	109362
389	52589	109224
390	52732	109106
391	52870	108977
392	52997	108827
393	53123	108674
394	53252	108526
395	53374	108366
396	53510	108234
397	53651	108111
398	53782	107970
